Estabelecimento;Endereço;Número;Bairro;Município;Unnamed: 5;Chatgpt;Endereço final;lat_lng;lat;lng
CENTRO UNIVERSITARIO INTEGRADO DE SAUDE AMAURY DE MEDEIROS;Rua visconde de Mamanguape;-;Encruzilhada;Recife;; R. Francisco Alves, 157 - Santo Amaro, Recife - PE, 50100-030;Rua visconde de Mamanguape,-,Encruzilhada,Recife;(-8.05041, -34.91014);-8.05041;-34.91014
HOSPITAL BELARMINO CORREIA;Praça Correia Picanço;-;Centro;Goiana;; Av. Gov. Agamenon Magalhães, s/n - Maurício de Nassau, Caruaru - PE, 55012-200;Praça Correia Picanço,-,Centro,Goiana;(-7.55802, -35.00489);-7.55802;-35.00489
HOSPITAL ERMIRIO COUTINHO;Travessa Bancário Leopoldino Vieira de Melo Filho;-;Centro;Nazaré da Mata;; R. dos Pescadores, s/n - Centro, Nazaré da Mata - PE, 55800-000;Travessa Bancário Leopoldino Vieira de Melo Filho,-,Centro,Nazaré da Mata;(-7.74413, -35.23096);-7.74413;-35.23096
HOSPITAL JABOATAO PRAZERES;Rua Recife;-;Cajueiro Seco;Jaboatão dos Guararapes;; R. Dr. José Rufino Bezerra Cavalcante, s/n - Prazeres, Jaboatão dos Guararapes - PE, 54340-030;Rua Recife,-,Cajueiro Seco,Jaboatão dos Guararapes;(-8.16583, -35.19652);-8.16583;-35.19652
HOSPITAL JOAO MURILO E POLICLINICA DE VITORIA;Avenida Henrique de Holanda;87;Matriz;Vitória de Santo Antão;; Av. Henrique de Holanda, s/n - Bela Vista, Vitória de Santo Antão - PE, 55608-000;Avenida Henrique de Holanda,87,Matriz,Vitória de Santo Antão;(-8.11305, -35.29023);-8.11305;-35.29023
HOSPITAL REGIONAL DE LIMOEIRO JOSE FERNANDES SALSA;Rua Coronel Manoel Aquino Albuquerque;144;-;Limoeiro;; R. Dr. José Correia, s/n - João Ernesto, Limoeiro - PE, 55700-000;Rua Coronel Manoel Aquino Albuquerque,144,-,Limoeiro;(-7.88148, -35.45817);-7.88148;-35.45817
HOSPITAL REGIONAL FERNANDO BEZERRA;Rua Teobaldo Gomes Torres;510;Centro;Ouricuri;; Rodovia PE-320, s/n - São Francisco, Ouricuri - PE, 56200-000;Rua Teobaldo Gomes Torres,510,Centro,Ouricuri;(-7.88303, -40.08672);-7.88303;-40.08672
PRONTO SOCORRO SAO FRANCISCO LTDA;Avenida Antônio Angelim;520;Santo Antonio;Salgueiro;; Rua Dom Severino, 4 - Centro, Petrolândia - PE, 56460-000;Avenida Antônio Angelim,520,Santo Antonio,Salgueiro;(-8.07298, -39.12569);-8.07298;-39.12569
IBVASF;Avenida Djalma Wanderley;quadra 10;-;Petrolândia;;Rua Desembargador Afonso Celso, 150 - Derby, Recife - PE, 52010-040;Avenida Djalma Wanderley,quadra 10,-,Petrolândia;(-8.97201, -38.21946);-8.97201;-38.21946
HOSPITAL MUNICIPAL DE JAQUEIRA MARIA HELENA SILVA DE ANDRADE;Rua Projetada;-;Alto da Boa Vista;Jaqueira;;R. Prof. José Gonçalves, 133 - Centro, Jaqueira - PE, 55440-000;Rua Projetada,-,Alto da Boa Vista,Jaqueira;(-8.73157, -35.80612);-8.73157;-35.80612
